8BT,8-bit Arcade Bar
AAB,Add-a-Ball
ADM,Admiral Pub
ANC,Another Castle
BSS,Ballard Smoke Shop
COP,Corner Pocket Billiards and Lounge
T4B,4Bs Tavern
GPA,Georgetown Pizza and Arcade
HND,Hounds Tooth
IBX,Ice Box
JUP,Jupiter
KRA,Kraken
OLF,Olaf's
RAY,Raygun Lounge
SHR,Shorty's
STN,Seattle Tavern and Pool Hall
T4B,The 4Bs
TBD,Venue To-be-determined
TDN,Touchdown's Sports Bar and Grill
TWP,Time Warp
WAT,Waterland Arcade
