J,Jackpot,TTT,CPO,ADB,BAD,DTP,SHK,SSD,CDC,HHS
K,Kickback,KNR,CRA,ICB,PBR,JMF,RMS,DOG,PYC,SKP
L,Lockshot,TWC,PKT,RTR,DSV,FBP,DIH,POW,PGN
M,Multiball,SCN,ETB,TBT,NMC,NLT,SSS,LAS,SWL
