OLF,Olaf's
SHR,Shorty's
AAB,Add-a-Ball
FFD,Flip Flip Ding Ding
8BT,8-bit Arcade Bar
LLQ,Lucky Liquor
ANC,Another Castle
HND,Hounds Tooth
RAY,Raygun Lounge
JUP,Jupiter
CDX,Coindexter's
IBX,Ice Box
COP,Corner Pocket Billiards and Lounge
HBT,Hellbent Brewing
ADM,Admiral Pub
WAT,Waterland
KRA,Kraken
NAV,No Available Venue
