T4B,4Bs
8BT,8-bit Arcade Bar
AAB,Add-a-Ball
ADM,Admiral Pub
ANC,Another Castle
BSS,Ballard Smoke Shop
CDX,Coindexter's
COP,Corner Pocket Billiards and Lounge
GPA,Georgetown Pizza and Arcade
HND,Hounds Tooth
IBX,Ice Box
JUP,Jupiter
NAV,No Available Venue
OLF,Olaf's
RAY,Raygun Lounge
STN,Seattle Tavern and Pool Hall
SHR,Shorty's
TDN,Touchdown's Sports Bar and Grill
TWP,Time Warp
WAT,Waterland Arcade
