P,Plunger,KNR,SSS,ETB,RTR,LAS,DTP,DSV,ICB,HHS
R,Rollover,SCN,DIH,NLT,SHK,PYC,FBP,BAD,ADB,SKP
S,Saucer,TWC,CRA,PGN,TBT,DOG,JMF,PKT,BLK,TTT
T,Target,NMC,CPO,SWL,TRL,POW,RMS,PBR,SSD,SRF
