8BT,8-bit Arcade Bar
AAB,Add-a-Ball
ADM,Admiral Pub
ANC,Another Castle
BSS,Ballard Smoke Shop
CDX,Coindexter's
COP,Corner Pocket Billiards and Lounge
T4B,4Bs Tavern
GPA,Georgetown Pizza and Arcade
IBX,Ice Box
JTT,Just The Tap
JUP,Jupiter
KRA,Kraken
OLF,Olaf's
RAY,Raygun Lounge
SHR,Shorty's
STN,Seattle Tavern and Pool Hall
T4B,The 4Bs
TBD,Venue To-be-determined
TDN,Touchdown's Sports Bar and Grill
TWP,Time Warp
WAT,Waterland Arcade
