W,Slingshot,NLT,PBR,SCN,PKT,CDC,ICB,SHK,FBP,
X,Saucer,HHS,DSV,KNR,TBT,PYC,ADB,ETB,POW,
Y,Bumper,CRA,JMF,SSS,PGN,CFB,SSD,NMC,TTT,RTR
Z,Target,CPO,DTP,DIH,SWL,LAS,SKP,RMS,TWC,FBS
