8BT,8-bit Arcade Bar
AAB,Add-a-Ball
ADM,Admiral Pub
ANC,Another Castle
BSS,Ballard Smoke Shop
CDX,Coindexter's
COP,Corner Pocket Billiards and Lounge
GPA,Georgetown Pizza and Arcade
HND,Hounds Tooth
IBX,Ice Box
JTT,Just The Tap
JUP,Jupiter
OLF,Olaf's
RAY,Raygun Lounge
SHR,Shorty's
STN,Seattle Tavern and Pool Hall
T4B,4Bs Tavern
TDN,Touchdown's Sports Bar and Grill
TWP,Time Warp
WAT,Waterland Arcade
