P,Plunger,KNR,SSS,RTR,ETB,NQG,DTP,DSV,ICB,KBZ,
R,Rollover,SCN,DIH,NLT,SHK,PYC,FBP,BAD,ADB,SKP,ZOO
S,Saucer,TWC,CRA,PGN,TBT,DOG,JMF,PKT,BLK,TTT,
T,Target,NMC,CPO,SWL,TRL,POW,RMS,PBR,SSD,SRF,DRK
